18禁	18禁 🔞
嘴巴	嘴巴 👄
嘻嘻	嘻嘻 😁
嘿嘿	嘿嘿 😀 😁
噘嘴	噘嘴 😗 🙎
噘嘴猫	噘嘴猫 😾
噘嘴猫脸	噘嘴猫脸 😾
噘嘴的猫	噘嘴的猫 😾
四	四 4️⃣
四万	四万 🀊
四分音符	四分音符 ♩
四口之家	四口之家 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
四叶草	四叶草 🍀
四方帽	四方帽 🎓
四月	四月 🌔
四条	四条 🀓
四点	四点 🕓
四点半	四点半 🕟
四点钟	四点钟 🕓
四筒	四筒 🀜
四角	四角 ⛶
四角裤	四角裤 🩳
四轮滑冰鞋	四轮滑冰鞋 🛼
四边形	四边形 ⎕ ⏥
回力棒	回力棒 🪃
回力镖	回力镖 🪃
回家	回家 『家』～o(▽｀o)=3=3=3
回形针	回形针 📎 🖇️ 🧷
回收	回收 ♻️
回收标志	回收标志 ♻️
回旋镖	回旋镖 🪃
回电话	回电话 🤙
回车	回车 ↩️
回飞棒	回飞棒 🪃
团圆饼	团圆饼 🥮
团子	团子 🍡
囧	囧 （´Д`）
困	困 (o-ωｑ)).oO困 (p.-)(p.-)(p.-) (￣o￣).zZ 😪 😴 🥱 🫩
困乏	困乏 😪
困了	困了 😪 🥱
困倦	困倦 😪 🥱
困困	困困 😪
困惑	困惑 ❓ ❔ 😕 😖 🤔 🤨 🥴
困扰	困扰 😕
围巾	围巾 🧣
围棋	围棋 ⚪ ⚫
固定电话	固定电话 ☎️
固话	固话 ☎️
国宝	国宝 🐼
国家公园	国家公园 🏞️
国旗	国旗 ⚑ 🇦🇩 🇦🇪 🇦🇫 🇦🇬 🇦🇮 🇦🇱 🇦🇲 🇦🇴 🇦🇶 🇦🇷 🇦🇸 🇦🇹 🇦🇺 🇦🇼 🇦🇽 🇦🇿 🇧🇦 🇧🇧 🇧🇩 🇧🇪 🇧🇫 🇧🇬 🇧🇭 🇧🇮 🇧🇯 🇧🇱 🇧🇲 🇧🇳 🇧🇴 🇧🇶 🇧🇷 🇧🇸 🇧🇹 🇧🇼 🇧🇾 🇧🇿 🇨🇦 🇨🇨 🇨🇩 🇨🇫 🇨🇬 🇨🇭 🇨🇮 🇨🇰 🇨🇱 🇨🇲 🇨🇳 🇨🇴 🇨🇷 🇨🇺 🇨🇻 🇨🇼 🇨🇽 🇨🇾 🇨🇿 🇩🇪 🇩🇯 🇩🇰 🇩🇲 🇩🇴 🇩🇿 🇪🇨 🇪🇪 🇪🇬 🇪🇭 🇪🇷 🇪🇸 🇪🇹 🇪🇺 🇫🇮 🇫🇯 🇫🇰 🇫🇲 🇫🇴 🇫🇷 🇬🇦 🇬🇧 🇬🇩 🇬🇪 🇬🇫 🇬🇬 🇬🇭 🇬🇮 🇬🇱 🇬🇲 🇬🇳 🇬🇵 🇬🇶 🇬🇷 🇬🇸 🇬🇹 🇬🇺 🇬🇼 🇬🇾 🇭🇳 🇭🇷 🇭🇹 🇭🇺 🇮🇨 🇮🇩 🇮🇪 🇮🇱 🇮🇲 🇮🇳 🇮🇴 🇮🇶 🇮🇷 🇮🇸 🇮🇹 🇯🇪 🇯🇲 🇯🇴 🇯🇵 🇰🇪 🇰🇬 🇰🇭 🇰🇮 🇰🇲 🇰🇳 🇰🇵 🇰🇷 🇰🇼 🇰🇾 🇰🇿 🇱🇦 🇱🇧 🇱🇨 🇱🇮 🇱🇰 🇱🇷 🇱🇸 🇱🇹 🇱🇺 🇱🇻 🇱🇾 🇲🇦 🇲🇨 🇲🇩 🇲🇪 🇲🇬 🇲🇭 🇲🇰 🇲🇱 🇲🇲 🇲🇳 🇲🇵 🇲🇶 🇲🇷 🇲🇸 🇲🇹 🇲🇺 🇲🇻 🇲🇼 🇲🇽 🇲🇾 🇲🇿 🇳🇦 🇳🇨 🇳🇪 🇳🇫 🇳🇬 🇳🇮 🇳🇱 🇳🇴 🇳🇵 🇳🇷 🇳🇺 🇳🇿 🇴🇲 🇵🇦 🇵🇪 🇵🇫 🇵🇬 🇵🇭 🇵🇰 🇵🇱 🇵🇲 🇵🇳 🇵🇷 🇵🇸 🇵🇹 🇵🇼 🇵🇾 🇶🇦 🇷🇪 🇷🇴 🇷🇸 🇷🇺 🇷🇼 🇸🇦 🇸🇧 🇸🇨 🇸🇩 🇸🇪 🇸🇬 🇸🇭 🇸🇮 🇸🇰 🇸🇱 🇸🇲 🇸🇳 🇸🇴 🇸🇷 🇸🇸 🇸🇹 🇸🇻 🇸🇽 🇸🇾 🇸🇿 🇹🇨 🇹🇩 🇹🇫 🇹🇬 🇹🇭 🇹🇯 🇹🇰 🇹🇱 🇹🇲 🇹🇳 🇹🇴 🇹🇷 🇹🇹 🇹🇻 🇹🇿 🇺🇦 🇺🇬 🇺🇳 🇺🇸 🇺🇾 🇺🇿 🇻🇦 🇻🇨 🇻🇪 🇻🇬 🇻🇮 🇻🇳 🇻🇺 🇼🇫 🇼🇸 🇽🇰 🇾🇪 🇾🇹 🇿🇦 🇿🇲 🇿🇼 🎌 🏁 🏳️ 🏳️‍🌈 🏴
国民党	国民党 ❂
国王	国王 ♔ ♚ 🤴 🩠 🩦 🫅
国际象棋	国际象棋 ♔ ♕ ♖ ♗ ♘ ♙ ♚ ♛ ♜ ♝ ♞ ♟️ 🩠 🩡 🩢 🩣 🩤 🩥 🩦 🩧 🩨 🩩 🩪 🩫 🩬 🩭
国际象棋兵	国际象棋兵 ♟️
图书	图书 📖 📚
图片	图片 🖼️
图瓦卢	图瓦卢 🇹🇻
图表	图表 💹 📈 📉 📊
图钉	图钉 📌 📍 📎
圆	圆 ○ ● ⚪ ⚫ 🔴 🔵 🟠 🟡 🟢 🟣 🟤
圆图钉	圆图钉 📍
圆圈	圆圈 ⭕
圆形	圆形 ⚪ ⚫ 🔴 🔵 🟠 🟡 🟢 🟣 🟤
圆形花饰	圆形花饰 🏵️
圆月	圆月 🌕 🌝
圆桶	圆桶 🪣
圆点菱形	圆点菱形 💠
圆珠笔	圆珠笔 🖊️
圆白菜	圆白菜 🥬
圆筒冰淇淋	圆筒冰淇淋 🍦
圆筒冰激凌	圆筒冰激凌 🍦
土	土 ㈯ ㊏
土库曼斯坦	土库曼斯坦 🇹🇲
土星	土星 🪐
土耳其	土耳其 🇹🇷
土耳其共和国	土耳其共和国 🇹🇷
土豆	土豆 🥔
圣卢西亚	圣卢西亚 🇱🇨
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
圣堂	圣堂 ⛪
圣多美	圣多美 🇸🇹
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣多美和普林西比民主共和国	圣多美和普林西比民主共和国 🇸🇹
圣巴泰勒米	圣巴泰勒米 🇧🇱
圣文森特	圣文森特 🇻🇨
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
圣甲虫	圣甲虫 🪲
圣皮埃尔	圣皮埃尔 🇵🇲
圣皮埃尔和密克隆群岛	圣皮埃尔和密克隆群岛 🇵🇲
圣诞	圣诞 ☃️ ⛄ ⛇ ⛪ ✝️ ❄️ 🌟 🍪 🍴 🍷 🎁 🎄 🎅 👶 👼 🔔 🔥 🕆 🕭 🛐 🤶 🥛 🦌 🧑‍🎄 🧦
圣诞人	圣诞人 🧑‍🎄
圣诞夫人	圣诞夫人 🤶
圣诞奶奶	圣诞奶奶 🤶
圣诞岛	圣诞岛 🇨🇽
圣诞树	圣诞树 🌲 🎄
圣诞老人	圣诞老人 🎅 🤶 🧑‍🎄
圣诞节	圣诞节 ☃️ ⛄ ⛇ ⛪ ✝️ ❄️ 🌟 🍪 🍴 🍷 🎁 🎄 🎅 👶 👼 🔔 🔥 🕆 🕭 🛐 🤶 🥛 🦌 🧑‍🎄 🧦
圣赫勒拿	圣赫勒拿 🇸🇭
圣马丁	圣马丁 🇸🇽
圣马力诺	圣马力诺 🇸🇲
圣马力诺共和国	圣马力诺共和国 🇸🇲
圭亚那	圭亚那 🇬🇾
圭亚那合作共和国	圭亚那合作共和国 🇬🇾
地	地 ⏚ ☷
地下铁路	地下铁路 🚇
地主	地主 👲
地图	地图 🗺️ 🗾
地球	地球 🌍 🌎 🌏 🌐
地球仪	地球仪 🌍 🌎 🌏 🌐
地瓜	地瓜 🍠
地铁	地铁 Ⓜ️ 🚇
场记	场记 🎬
场记板	场记板 🎬
坎	坎 ☵
坎达	坎达 🪯
坎达符号	坎达符号 🪯
坏人	坏人 🦹
坏笑	坏笑 (^～^) 😏
坏蛋	坏蛋 🦹
坐雪橇	坐雪橇 🛷
坑	坑 🕳️
坚持	坚持 😣
坛	坛 ⚱️
坟墓	坟墓 🪦
坠入爱河	坠入爱河 🥰
坤	坤 ☷
坦桑尼亚	坦桑尼亚 🇹🇿
坦桑尼亚联合共和国	坦桑尼亚联合共和国 🇹🇿
垂涎三尺	垂涎三尺 🤤
垃圾	垃圾 🗑️ 🙃 🚮 🚯
垃圾丢弃处	垃圾丢弃处 🚮
垃圾入篓	垃圾入篓 🚮
垃圾桶	垃圾桶 🗑️ 🚮 🚯
垃圾篓	垃圾篓 🗑️
垒球	垒球 🥎
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃塞俄比亚联邦民主共和国	埃塞俄比亚联邦民主共和国 🇪🇹
埃斯库多	埃斯库多 ㌇
城堡	城堡 ♖ ♜ 🏯 🏰 🩢 🩨
城市	城市 🏙️
城市景观	城市景观 🏙️
城市风光	城市风光 🏙️
城市黄昏	城市黄昏 🌆
培养皿	培养皿 🧫
培根	培根 🥓
基友	基友 👬
基因	基因 🧬
基督	基督 ✝️ 🕆
基督教	基督教 ✝️ 🕆
基里巴斯	基里巴斯 🇰🇮
基里巴斯共和国	基里巴斯共和国 🇰🇮
堆雪人	堆雪人 ⛄ ⛇
堵上耳朵	堵上耳朵 🙉
堵住耳朵	堵住耳朵 🙉
堵着耳朵	堵着耳朵 🙉
堵耳	堵耳 🙉
堵耳朵	堵耳朵 🙉
塔	塔 🃯 🗼
塔吉克斯坦	塔吉克斯坦 🇹🇯
塔吉克斯坦共和国	塔吉克斯坦共和国 🇹🇯
塔罗	塔罗 🃠 🃡 🃢 🃣 🃤 🃥 🃦 🃧 🃨 🃩 🃪 🃫 🃬 🃭 🃮 🃯 🃰 🃱 🃲 🃳 🃴 🃵
塔罗牌	塔罗牌 🃠 🃡 🃢 🃣 🃤 🃥 🃦 🃧 🃨 🃩 🃪 🃫 🃬 🃭 🃮 🃯 🃰 🃱 🃲 🃳 🃴 🃵
塞内加尔	塞内加尔 🇸🇳
塞内加尔共和国	塞内加尔共和国 🇸🇳
塞尔维亚	塞尔维亚 🇷🇸
塞尔维亚共和国	塞尔维亚共和国 🇷🇸
塞拉利昂	塞拉利昂 🇸🇱
塞拉利昂共和国	塞拉利昂共和国 🇸🇱
塞浦路斯	塞浦路斯 🇨🇾
塞浦路斯共和国	塞浦路斯共和国 🇨🇾
塞舌尔	塞舌尔 🇸🇨
塞舌尔共和国	塞舌尔共和国 🇸🇨
墓碑	墓碑 🪦
增长	增长 💹 📈
墨水笔	墨水笔 🔏
墨西哥	墨西哥 🇲🇽
墨西哥卷饼	墨西哥卷饼 🌮 🌯
墨西哥合众国	墨西哥合众国 🇲🇽
墨西哥玉米煎饼	墨西哥玉米煎饼 🌯
墨西哥粽	墨西哥粽 🫔
墨西哥粽子	墨西哥粽子 🫔
墨西哥薄饼卷	墨西哥薄饼卷 🌮
墨镜	墨镜 🕶️ 😎
墨镜笑脸	墨镜笑脸 😎
墨鱼	墨鱼 🦑
壁炉钟	壁炉钟 🕰️
壁虎	壁虎 🦎
声	声 🈤
声音	声音 🔇 🔈 🔉 🔊
处女	处女 ♍
处女座	处女座 ♍
备忘	备忘 📝
备忘录	备忘录 📇 📋 📝 🗒️
复古钥匙	复古钥匙 🗝️
复活岛	复活岛 🗿
复活节岛	复活节岛 🗿
复活节岛石像	复活节岛石像 🗿
复选	复选 ☑️ 🗹
复选按钮	复选按钮 ☑️ 🗹
复选框	复选框 ☑️ 🗹
夏	夏 🀧
夕阳	夕阳 🌇
外公	外公 👴
外卖	外卖 🍱 🥡
外卖包装	外卖包装 🥡
外卖桶	外卖桶 🥡
外卖盒	外卖盒 🥡
外套	外套 🧥
外婆	外婆 👵
外带杯子	外带杯子 🥤
外星人	外星人 👽 👾
外星怪物	外星怪物 👾
外汇	外汇 💱
多	多 🈕
多个音符	多个音符 🎶
多云	多云 ☁️ ⛅ 🌥️
多云转晴	多云转晴 🌣 🌤️
多哥	多哥 🇹🇬
多哥共和国	多哥共和国 🇹🇬
多巴哥	多巴哥 🇹🇹
多民族玻利维亚国	多民族玻利维亚国 🇧🇴
多用途车	多用途车 🚙
多米尼克	多米尼克 🇩🇲
多米尼克国	多米尼克国 🇩🇲
多米尼加	多米尼加 🇩🇲 🇩🇴
多米尼加共和国	多米尼加共和国 🇩🇴
夜	夜 ㊰
夜幕	夜幕 🌉
夜晚	夜晚 🌃 🌉
夜间大桥	夜间大桥 🌉
大不列颠及北爱尔兰联合王国	大不列颠及北爱尔兰联合王国 🇬🇧
大于	大于 ⩼ ⫸
大便	大便 💩
大公鸡	大公鸡 🐓
大写	大写 🔠
大写字母	大写字母 🔠
大卡车	大卡车 ⛟ 🚛
大卫之星	大卫之星 ✡️
大厦	大厦 ㌱
大厦夕阳	大厦夕阳 🌇
大厨	大厨 🧑‍🍳
大反派	大反派 🦹
大叔	大叔 🧔
大哭	大哭 😭
大喇叭	大喇叭 📣
大夫	大夫 🧑‍⚕️
大头针	大头针 📍
大学生	大学生 🧑‍🎓
大小王	大小王 🃏
大山	大山 ⛰️
大山日出	大山日出 🌄
大巴	大巴 🚌 🚍
大拇指	大拇指 👍 👎
大树	大树 🌳
大桥	大桥 🌉
大正	大正 ㍽
大母鸡	大母鸡 🐓
大浪	大浪 🌊
大熊猫	大熊猫 🐼
大猩猩	大猩猩 🦍
大王	大王 🃏
大白兔	大白兔 🐇
大白鲨	大白鲨 🦈
大笑	大笑 (ಡωಡ) (≧▽≦) ˳⚆ɞ⚆˳ ∠(ᐛ」∠)＿ ☻ 😀 😁 😂 😃 😄 😅 😆 😉 😊 😋 😎 😸 😹 😺 🤣 🤩
大笑猫	大笑猫 😺
大笑的猫	大笑的猫 😺
大米	大米 🌾 🍚
大米饭	大米饭 🍚
大红灯笼	大红灯笼 🏮
大红灯笼高高挂	大红灯笼高高挂 🏮
大肚子	大肚子 🤰 🫃
大脑	大脑 🧠
大脑爆炸	大脑爆炸 🤯
大腿	大腿 🦵
大蒜	大蒜 🧄
大虾	大虾 🦐
大象	大象 🐘 🦣
大野牛	大野牛 🦬
大雨	大雨 ⛈️
大音量	大音量 🔊
大风	大风 🌬️
大饼	大饼 🫓
大鹅	大鹅 🪿
天	天 ☰ 🈗
天使	天使 👼 😇
天使宝宝	天使宝宝 👼
天使的翅膀	天使的翅膀 🪽
天使翅膀	天使翅膀 🪽
天啊	天啊 ヽ(´･д･｀)ﾉ
天妇罗	天妇罗 🍤
天平	天平 ⚖️
天房	天房 🕋
天文	天文 ☿ ♅ ♆ ♇
天气	天气 ☀️ ☁️ ☃️ ☔ ⚡ ⛄ ⛅ ⛇ ⛈️ ❄️ 🌊 🌢 🌣 🌤️ 🌥️ 🌦️ 🌧️ 🌨️ 🌩️ 🌪️ 🌫️ 🌬️ 💥 💦 💧 💨 🔥 🗲
天狗	天狗 👺
天王星	天王星 ♅
天秤	天秤 ♎
天秤座	天秤座 ♎
天线	天线 📡
天蝎	天蝎 ♏
天蝎座	天蝎座 ♏
天鹅	天鹅 🦢
太初	太初 ☬
太差	太差 👎
太差了	太差了 👎
太差啦	太差啦 👎
太极	太极 ☯️
太棒	太棒 👍
太棒了	太棒了 👍
太棒啦	太棒啦 👍
太玄经	太玄经 ⚊ ⚋ ⚌ ⚍ ⚎ ⚏
太空人	太空人 🧑‍🚀
太阳	太阳 ☀️ ☼ 🃲 🌞
太阳伞	太阳伞 🏖️
太阳花	太阳花 🌻
太阳镜	太阳镜 🕶️ 😎
夫妇	夫妇 👩‍❤️‍👨 👩‍❤️‍💋‍👨 👩‍🤝‍👨 👫
失恋	失恋 💔
失望	失望 😞
失聪	失聪 🧏
失聪者	失聪者 🧏
失落	失落 (。_。)
头像	头像 👤
头巾	头巾 👳 🧕
头戴式耳机	头戴式耳机 🎧
头昏眼花	头昏眼花 🥴
头晕	头晕 💫 😵 😵‍💫
头晕目眩	头晕目眩 💫 😵 😵‍💫
头晕眼花	头晕眼花 😵 😵‍💫
头爆炸	头爆炸 🤯
头盔	头盔 🪖
头秃	头秃 👨‍🦲 👩‍🦲 🦲
头纱	头纱 👰
头脑	头脑 🧠
头部剪影	头部剪影 🗣️
头骨	头骨 ☠️ 💀 🕱
夹克	夹克 🧥
夹克衫	夹克衫 🧥
夹击	夹击 (o￣3)==@))゜ロ゜((@==(′ε′)o
夹子	夹子 🗜️
夹心饼	夹心饼 🥙
夹趾凉鞋	夹趾凉鞋 🩴
夹钳	夹钳 🗜️
奇异果	奇异果 🥝
奇怪	奇怪 🤔
奇怪了	奇怪了 🤔
奉金瓮	奉金瓮 ⚱️
奋斗	奋斗 💪
奔跑	奔跑 🏃 🏃‍➡️
奖	奖 🎖️ 🏅 🏆 🥇 🥈 🥉
奖杯	奖杯 🏆
奖牌	奖牌 🏅 🥇 🥈 🥉
奖金	奖金 💰
奖项	奖项 🎖️ 🏅 🏆 🥇 🥈 🥉
套娃	套娃 🪆
奥兰	奥兰 🇦🇽
奥兰群岛	奥兰群岛 🇦🇽
奥地利	奥地利 🇦🇹
奥地利共和国	奥地利共和国 🇦🇹
奥姆	奥姆 🕉️
奥姆符号	奥姆符号 🕉️
女	女 ♀️ ㊛ 👩 👩‍🦰 👩‍🦱 👩‍🦲 👩‍🦳 👱‍♀️ 👵 🚺 🧑 🧓
女人	女人 👩 👩‍🦰 👩‍🦱 👩‍🦲 👩‍🦳 👱‍♀️ 👵 🚺 🧑 🧓
女人女人	女人女人 👩‍❤️‍💋‍👩
女儿	女儿 👧 🛊
女包	女包 👜
女厕	女厕 🚺
女厕所	女厕所 🚺
女同	女同 👩‍❤️‍👩 👩‍🤝‍👩 👭
女同性恋	女同性恋 👩‍❤️‍👩
女士	女士 🚺
女士标志	女士标志 🚺
女士符号	女士符号 🚺
女士衬衫	女士衬衫 👚
女士钱包	女士钱包 👛
女孩	女孩 👧 🛊 🧒
女巫	女巫 🧙
女帽	女帽 👒
女式凉鞋	女式凉鞋 👡
女性	女性 ♀️
女性符号	女性符号 ♀️
女洗手间	女洗手间 🚺
女王	女王 👸
女生摔跤	女生摔跤 👩‍🫯‍👩
女皇	女皇 🃢 👸
女祭司	女祭司 🃡
女衬衫	女衬衫 👚
女装	女装 👚
女靴	女靴 👢
女鞋	女鞋 👠
奶奶	奶奶 👵
奶妈	奶妈 🧑‍🍼
奶爸	奶爸 🧑‍🍼
奶牛	奶牛 🐄 🐮
奶牛头	奶牛头 🐮
奶瓶	奶瓶 🍼
奶茶	奶茶 🧋
奶酪	奶酪 🧀
奶酪火锅	奶酪火锅 🫕
奶黄	奶黄 🍮
奸笑猫	奸笑猫 😼
奸笑的猫	奸笑的猫 😼
好	好 (u‿ฺu✿ฺ) o(￣▽￣)ｄ ٩(•̤̀ᵕ•̤́๑)ᵒᵏᵎᵎᵎᵎ ヽ(✿ﾟ▽ﾟ)ノ （゜▽＾*）） 🆗 👌 👍 🙆
好兄弟	好兄弟 👬
好冷	好冷 🥶
好吃	好吃 😋
好哒	好哒 👌
好嘛	好嘛 🥺
好基友	好基友 👬
好奇	好奇 😯
好崇拜	好崇拜 🤩
好崇拜哦	好崇拜哦 🤩
好强	好强 👍
好棒	好棒 👍
好热	好热 🥵
好的	好的 👌 🙆
好笑	好笑 🤭
好耶	好耶 (((o(*ﾟ▽ﾟ*)o))) 😆
好运	好运 🙏 🤞
如释重负	如释重负 😌 😥
妈妈	妈妈 👩
妖怪	妖怪 👺 🧚 🧞
妖精	妖精 🧚 🧞
姓名牌	姓名牌 📛
委内瑞拉	委内瑞拉 🇻🇪
委内瑞拉玻利瓦尔共和国	委内瑞拉玻利瓦尔共和国 🇻🇪
委屈	委屈 ╥﹏╥... 🥹
姜	姜 🫚
姥姥	姥姥 👵
姥爷	姥爷 👴
威士忌	威士忌 🥃
威尔士	威尔士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
娃娃	娃娃 🎎 🪆
娱乐	娱乐 ♟️ 🎟️ 🎤 🎧 🎪 🎫 🎮 🎯 🎰 🎲 🎳 🕹️ 🖲️ 🪅
婚礼	婚礼 💒
婚纱	婚纱 👰
婴儿	婴儿 👶 👼 🚼
婴儿标志	婴儿标志 🚼
婴儿符号	婴儿符号 🚼
媚眼	媚眼 😉
嫩苗	嫩苗 🌱
子午线	子午线 🌐
孔雀	孔雀 🦚
孕妇	孕妇 🤰 🫄
孕肚	孕肚 🤰
字	字 🈑
字母	字母 🇦 🇧 🇨 🇩 🇪 🇫 🇬 🇭 🇮 🇯 🇰 🇱 🇲 🇳 🇴 🇵 🇶 🇷 🇸 🇹 🇺 🇻 🇼 🇽 🇾 🇿 🔤
字母a	字母a 🇦
字母b	字母b 🇧
字母c	字母c 🇨
字母d	字母d 🇩
字母e	字母e 🇪
字母f	字母f 🇫
字母g	字母g 🇬
字母h	字母h 🇭
字母i	字母i 🇮
字母j	字母j 🇯
字母k	字母k 🇰
字母l	字母l 🇱
字母m	字母m 🇲
字母n	字母n 🇳
字母o	字母o 🇴
字母p	字母p 🇵
字母q	字母q 🇶
字母r	字母r 🇷
字母s	字母s 🇸
字母t	字母t 🇹
字母u	字母u 🇺
字母v	字母v 🇻
字母w	字母w 🇼
字母x	字母x 🇽
字母y	字母y 🇾
字母z	字母z 🇿
字符	字符 🔣
孟加拉	孟加拉 🇧🇩
孟加拉国	孟加拉国 🇧🇩
季军	季军 🥉
学	学 ㈻ ㊫
学位	学位 🎓
学士帽	学士帽 🎓
学校	学校 🏫
学生	学生 🧑‍🎓
学童过街	学童过街 🚸
孩子	孩子 🧒
孵化小鸡	孵化小鸡 🐣
宅	宅 🤓
宅男	宅男 🤓
宇航员	宇航员 🧑‍🚀
守密	守密 🤐
安	安 🉃
安全别针	安全别针 🧷
安全头盔	安全头盔 ⛑️
安全帽	安全帽 ⛑️
安全背心	安全背心 🦺
安哥拉	安哥拉 🇦🇴
安哥拉共和国	安哥拉共和国 🇦🇴
安圭拉	安圭拉 🇦🇮
安圭拉岛	安圭拉岛 🇦🇮
安培	安培 ㌂
安巴	安巴 🇦🇬
安慰	安慰 (´･･)ﾉ(._.`) 😌
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安检	安检 🛂 🛃 🛄 🛅
安逸	安逸 😌
安道尔	安道尔 🇦🇩
安道尔公国	安道尔公国 🇦🇩
安静	安静 😯 🙊 🤐 🤫 🤭 🫢
安静的脸	安静的脸 🤫
完成	完成 ☑️
宗	宗 ㊪
宗教	宗教 ☦️ ☪️ ☬ ☮️ ☯️ ☸️ ⛩️ ⛪ ✝️ ✡️ 🔯 🕆 🕉️ 🕋 🕌 🕍 🕎 🛐 🪬 🪯
宗教场所	宗教场所 🛐
定时器	定时器 ⏲️
宝宝	宝宝 👶 🚼
宝石	宝石 💎
宝箱	宝箱 🪎
实验室外衣	实验室外衣 🥼
实验服	实验服 🥼
审判	审判 🃳
客船	客船 🛳️
客轮	客轮 🛳️
害怕	害怕 (⊙ˍ⊙) o((⊙﹏⊙))o. Σ(っ°Д°;)っ Σ(｀д′*ノ)ノ •﹏• 😨 😱
害怕猫	害怕猫 🙀
害怕猫脸	害怕猫脸 🙀
害怕的猫	害怕的猫 🙀
害羞	害羞 (*/ω＼*) (′▽`〃) (⁄⁄•⁄ω⁄•⁄⁄) (✿◡‿◡) o(*////▽////*)q ☻ 😊 😳 🫣
家	家 ⌂ 🏠 🏡
家庭	家庭 👨‍👦 👨‍👦‍👦 👨‍👧 👨‍👧‍👦 👨‍👧‍👧 👨‍👨‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👦‍👦 👩‍👧 👩‍👧‍👦 👩‍👧‍👧 👩‍👩‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧 👪 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒 🧑‍🧒 🧑‍🧒‍🧒
家禽	家禽 🐓 🐔 🐣 🐤 🐥 🦃 🦆 🦚
家禽的腿	家禽的腿 🍗
家禽腿	家禽腿 🍗
家蝇	家蝇 🪰
容我三思	容我三思 🤔
宽檐帽	宽檐帽 👒
宾馆	宾馆 🏨 🏩
寄存行李	寄存行李 🛅
寄生虫	寄生虫 🪱
密克罗尼西亚	密克罗尼西亚 🇫🇲
密钥	密钥 🔐
富士山	富士山 🗻
对	对 ☑️ ✅ ✓ ✔️ ⭕ ＜（＾－＾）＞ 🗸 🗹
对不起	对不起 o(￣┰￣*)ゞ （。・＿・。）ﾉ （＞人＜；） 🙇
对决	对决 🆚
对勾	对勾 ☑️ ✅ ✓ ✔️ ⭕ 🗸 🗹
对号	对号 ✅ ✔️ 🗸
对战	对战 🆚
对抗	对抗 🆚
对眼	对眼 (￫ܫ￩)
对称	对称 ⌯
对虾	对虾 🦐
对话	对话 👄 💬 💭 🗣️ 🗪 🗯️
对话框	对话框 💬 💭 🗨️ 🗪 🗯️
对话气泡	对话气泡 💬 🗨️ 🗪 🗯️
对钩	对钩 ✅ ✔️ 🗸
寺庙	寺庙 🛕
寻呼机	寻呼机 📟
导盲犬	导盲犬 🐕‍🦺 🦮
寿司	寿司 🍣
封口	封口 🤐
射手	射手 ♐
射手座	射手座 ♐
射线	射线 🗦 🗧
将	将 ♔ ♚
将军肚	将军肚 🫃
尊敬	尊敬 🫡
尊重	尊重 🫡
小	小 🤌 🤏
小丑	小丑 🤡
小丑牌	小丑牌 🃏
小丑脸	小丑脸 🤡
小于	小于 ⩻ ⫷
小仙女	小仙女 🧚
小仙子	小仙子 🧚
小兔子	小兔子 🐇
小公主	小公主 👸
小写	小写 🔡
小写字母	小写字母 🔡
小刀	小刀 🔪
小号	小号 🎺
小商店	小商店 🏪
小圆点	小圆点 ⚪
小型摩托车	小型摩托车 🛵
小型飞机	小型飞机 🛩️
小声	小声 🤫
小声点	小声点 🤫
小声点儿	小声点儿 🤫
小天使	小天使 👼
小女孩	小女孩 👧 🛊
小妖精	小妖精 👺
小孩	小孩 🧒
小孩儿	小孩儿 🧒
小孩子	小孩子 🧒
小宝贝	小宝贝 👶
小宝贝儿	小宝贝儿 👶
小屋	小屋 🛖
小岛	小岛 🏝️
小巴	小巴 🚐
小强	小强 🪳
小提琴	小提琴 🎻
小朋友	小朋友 🧒
小汽车	小汽车 🚗 🚘
小浣熊	小浣熊 🦝
小点儿声	小点儿声 🤫
小点声	小点声 🤫
小熊	小熊 🐻
小牛	小牛 🐮
小狗	小狗 🐕 🐶
小猪	小猪 🐷
小猫	小猫 🐈 🐱
小猫咪	小猫咪 🐈 🐱
小王	小王 🃏
小王子	小王子 🤴
小电驴	小电驴 🛵
小男孩	小男孩 👦 🛉
小白兔	小白兔 🐇
小白框	小白框 ⛶
小白菜	小白菜 🥬
小白鼠	小白鼠 🐁
小盆友	小盆友 🧒
小精灵	小精灵 🧚 🧝
小红书	小红书 📕
小羊	小羊 🐑
小老鼠	小老鼠 🐁
小苹果	小苹果 🍎 🍏
小蘑菇	小蘑菇 🍄
小蛇	小蛇 🐍
